日期,首例死亡日期,1月11日,2月1日,3月1日,4月1日,5月1日,6月1日,7月1日,8月1日,9月1日,10月1日,11月1日,12月1日
安道爾,2020年3月24日,0,0,0,12,42,51,52,66,53,53,75,76
烏拉圭,2020年4月1日,0,0,0,1,15,22,27,35,44,48,58,76
幾內亞,2020年4月16日,0,0,0,0,7,23,33,46,59,66,72,76
法屬玻里尼西亞,2020年9月11日,0,0,0,0,0,0,0,0,0,7,29,75
獅子山,2020年4月23日,0,0,0,0,7,46,60,67,70,72,74,74
尼日,2020年3月27日,0,0,0,3,32,64,67,69,69,69,69,72
法屬圭亞那,2020年4月21日,0,0,0,0,1,1,15,43,59,66,70,70
布吉納法索,2020年3月19日,0,0,0,14,43,53,53,53,55,57,67,68
多哥,2020年3月30日,0,0,0,1,9,13,14,18,27,48,55,64
中非,2020年5月24日,0,0,0,0,0,2,47,59,62,62,62,63
吉布地,2020年4月10日,0,0,0,0,2,24,54,58,60,61,61,61
南蘇丹,2020年5月15日,0,0,0,0,0,10,38,46,47,49,59,61
泰國,2020年3月2日,0,0,0,12,54,57,58,58,58,59,59,60
加彭,2020年3月21日,0,0,0,1,3,17,42,49,53,54,55,59
賽普勒斯,2020年3月25日,0,0,0,8,20,17,19,19,21,22,26,49
馬約特,2020年4月2日,0,0,0,0,4,23,35,39,40,42,44,49
盧安達,2020年5月31日,0,0,0,0,0,1,2,5,16,29,35,49
聖馬利諾,2020年3月8日,0,0,0,26,41,42,42,42,42,42,42,46
馬爾地夫,2020年5月2日,0,0,0,0,0,5,8,16,28,34,38,46
阿魯巴,2020年4月16日,0,0,0,0,2,3,3,3,10,26,37,45
賴索托,2020年7月9日,0,0,0,0,0,0,0,13,31,36,43,44
貝南,2020年4月7日,0,0,0,0,2,3,21,36,40,41,41,43
幾內亞比索,2020年4月27日,0,0,0,0,1,8,24,27,33,39,41,43
馬丁尼克,2020年3月26日,0,0,0,2,14,14,14,15,16,21,31,40
留尼旺,2020年5月21日,0,0,0,0,0,1,2,4,5,16,22,40
